path,sha256,bytes,last_write_utc
"images/avatars/Rita/carry-up.png","a80754f1c9db397b3c27c811deeb759944acc3fd0d7b01d8d07696806618707f",252879,"2026-07-14T11:25:21.2125472Z"
"images/avatars/Rita/idle.png","5e4de15989aea56937e3f5bbe295f6131d3920e9a35aa41d3ddc1295aff51330",255478,"2026-07-16T03:30:12.0883669Z"
"images/avatars/Rita/seated-idle-back.png","95b316e36051a1840285a2d9460891c451d413bcf35237470c60667051d1fd82",229934,"2026-07-15T03:22:21.1541399Z"
"images/avatars/Rita/seated-working-back.png","7a333386bbfd5d9bd731ccec9b74cce5e9e4b1edf9667517b4847c070c738440",254466,"2026-07-15T04:33:41.7351041Z"
"images/avatars/Rita/walk.png","9ff238928a56d27756c1e995ee6cf4b351a6c0e45c85b94ef2144e4d6464a009",277004,"2026-07-16T03:30:12.0964060Z"
"images/avatars/Rita/walk-down.png","7804a2ff8ba3110b6093b5695784aae142f4198e628ab3634f4912d128d1b8f7",242029,"2026-07-14T11:19:16.0096285Z"
"images/avatars/Rita/walk-up.png","3b0cc4bf5425cdba3669f408e4717d319ea0b83bfd453ca72ea7aa7a34cbc2d7",224804,"2026-07-14T11:13:00.9075023Z"
"images/furniture/artifact-hub-transparent.png","5525da5f970f842fd843205829d013de7e461e05e097fc654fd5c3a06fadbc6f",400289,"2026-07-16T03:30:12.1065583Z"
"images/furniture/desk-chair-back.png","6dbd80c94e5de87bec568b5b3b4142b226b555b531cf05999ea100ea97e63b5a",97776,"2026-07-16T03:30:12.1155579Z"
"images/furniture/desk-front.png","a60e1ac73c5251c2b0507fec7be01aaf7911abc451a617b51b680b0a8d3f4b6e",365542,"2026-07-16T03:30:12.1245577Z"
"images/furniture/desk-standard-transparent.png","6b89e9f18d738df438bcf04cbbc66c86eb7ec8233150ed93b0465fafc2d8034b",421865,"2026-07-16T03:30:12.1335573Z"
"images/orb/orb_blue.png","74c1e0aab81cadb9764e6e4ff7c5046fec8526cdfef16fc2c205acad086de0d4",560776,"2026-07-16T03:30:12.1435585Z"
"images/orb/orb_gray.png","949f2d52ad0763ef0bc268d3c103e123d5b78757a629ccaafe1f146120871c03",490754,"2026-07-16T03:30:12.1535584Z"
"images/orb/orb_yellow.png","794cd2655300a742ea5a68da9fdd8f8363eb11b6d872a0c653cce2ee6e2fe0f6",646695,"2026-07-16T03:30:12.1625583Z"
"images/scene/office-shell.png","be73eb5179da24c6aa1e37f0103d6d732f33b505791844d5434fb0078f3c581d",2350613,"2026-07-10T01:49:37.2294303Z"
