path,sha256,bytes,mode,width,height
images/avatars/Leo/walk.png,98fd0b5ac23265e9a6f63faf9c66e77566175544bef0d5961731ad45b23b7e1b,928408,RGBA,1254,1254
images/avatars/Quinn/at-desk.png,46827f18e0f27c1be551326ad6cdf9b1a16fd42432f3a0bc07d1d976ec746a6b,959135,RGBA,1254,1254
images/avatars/Quinn/carry-down.png,4ac0326cd7b6ae871f7c4d4050eb421527eb457d7c069fbd82ef4370162db670,285200,RGBA,1254,1254
images/avatars/Quinn/carry-up.png,f0e4c0a41d7d80c75224684714641d651f5626e414ea631be0685f8e5463f9c9,277640,RGBA,1254,1254
images/avatars/Quinn/carry.png,0bf392b86325d26ca47a65c4c10844f0286b3b1051f89e6e4aa2db1bfadf88f8,969363,RGBA,1254,1254
images/avatars/Quinn/idle.png,832ac6c0e8cb7430245e0e2da4452f3b3e77540a18e72c4d4879643e37606302,912547,RGBA,1254,1254
images/avatars/Quinn/seated-idle-back.png,7b4cc26e1774579a5d019e4468836f099dbd0b9e737f866d75b6c1b7709738dd,263206,RGBA,1254,1254
images/avatars/Quinn/seated-working-back.png,3516ec41a17f5509fe7870edb2df3bf4ebfa4725d2e28041c3b141cf955fb2bf,271327,RGBA,1254,1254
images/avatars/Quinn/walk-down.png,bd746e5f1c89ef461cd9da3ed4c33ddc2d455bcd3c7c30e81115fe9e8cb1963c,251988,RGBA,1254,1254
images/avatars/Quinn/walk-up.png,a0b467e91256a57cce9a0903c79823207c7d8c9cc570287133dc87afd3d65763,211176,RGBA,1254,1254
images/avatars/Quinn/walk.png,d61af3af6040435de70158795a2dc7c66e5ed45348a2e4c69adc918f3140934c,906245,RGBA,1254,1254
images/avatars/Rita/at-desk.png,039b505aaafb9cb0b6f1520e839640d3447432de0410af1b68e20a2e345df4bf,1002765,RGBA,1254,1254
images/avatars/Rita/carry-down.png,2c48e259a2ec49c35b92d964c673debe4e1f292a4d95156c48e5ed3e26c0c237,282071,RGBA,1254,1254
images/avatars/Rita/carry-up.png,a80754f1c9db397b3c27c811deeb759944acc3fd0d7b01d8d07696806618707f,252879,RGBA,1254,1254
images/avatars/Rita/carry.png,fa5d11770fcba5eeb1b8a726b4553d92a4ab894d9f05125c3c11c3085584a65f,1090542,RGBA,1254,1254
images/avatars/Rita/idle.png,398457fefbafe89c6dcf66870cfac69745201e964ad9378e22b8afa84879c853,958830,RGBA,1254,1254
images/avatars/Rita/seated-idle-back.png,95b316e36051a1840285a2d9460891c451d413bcf35237470c60667051d1fd82,229934,RGBA,1254,1254
images/avatars/Rita/seated-working-back.png,7a333386bbfd5d9bd731ccec9b74cce5e9e4b1edf9667517b4847c070c738440,254466,RGBA,1254,1254
images/avatars/Rita/walk-down.png,7804a2ff8ba3110b6093b5695784aae142f4198e628ab3634f4912d128d1b8f7,242029,RGBA,1254,1254
images/avatars/Rita/walk-up.png,3b0cc4bf5425cdba3669f408e4717d319ea0b83bfd453ca72ea7aa7a34cbc2d7,224804,RGBA,1254,1254
images/avatars/Rita/walk.png,67cec77f21d9c93cb1b78703a2f8e5bee8bd9a00881f059e5ececa3c30effca1,977674,RGBA,1254,1254
images/furniture/artifact-hub-transparent.png,a91614089b0e0380050103aa4bf9dd79ac2464e1711c16e491861f622a349fb7,1042930,RGBA,1254,1254
images/furniture/desk-chair-back.png,9e48d08ac690fab0fc8c14e87a1b8c97d17daf3f0db461281787f04f740bab73,1053232,RGBA,1254,1254
images/furniture/desk-front.png,b725e21fb22aa5a2b275d0a0f8e838c7a62393bf1b3df9550643e27d97030e4e,1053475,RGBA,1254,1254
images/furniture/desk-standard-transparent.png,774f958a76f21a8afe6839e1e82a6bb8822b8316b1c07c82b4b41b9e4a08b8b0,1057836,RGBA,1254,1254
images/orb/orb_blue.png,9941b650296f26678956749a30269ec0b0bb7d890c58b1fbacc234b9d04b8e2e,1158725,RGBA,1254,1254
images/orb/orb_gray.png,000d0f4dd048e440e1a280e8e2591ee89fe6b9d910f62c6e8492b27656dafc7c,1080430,RGBA,1254,1254
images/orb/orb_yellow.png,79ad5d1859b7920ffc7f3f9430f0b6b9fe7224080cb7a7c3de60496eec32b35f,1292330,RGBA,1254,1254
images/scene/office-shell.png,be73eb5179da24c6aa1e37f0103d6d732f33b505791844d5434fb0078f3c581d,2350613,RGB,1672,941
